Transaction ID,ISIN,CUSIP,Account Number,As of Date,Currency,Primary Account Info,Secondary Account Info,GL Balance,IHub Balance,Balance Difference,Match Status,Comments
2653299,PD8210226171,N93DNY5CF,1062379697,23-03-2025,GBP,Primary Info 15,Secondary Info 15,357657.44,122075.51,235581.93,Unmatched,Pending investigation
3613610,VY6325476445,P2MQ3HX6U,1128835546,19-02-2025,EUR,Primary Info 16,Secondary Info 16,341006.94,422137.73,-81130.79,Pending,Needs review
1421747,CB2994361673,LUMPNTFI8,1026011604,21-12-2024,AUD,Primary Info 17,Secondary Info 17,458659.12,288217.7,170441.42,Unmatched,
4098129,PA6679128391,TL4POYAQU,4840913986,16-08-2024,GBP,Primary Info 18,Secondary Info 18,271416.74,224267.52,47149.22,Partially Matched,Check discrepancy
2676818,RM1295891347,FSYUYK3I7,3045682928,30-08-2024,CAD,Primary Info 19,Secondary Info 19,191766.11,97807.15,93958.96,Pending,Needs review
3182605,JQ1000415844,UGCI8LHLD,1268715337,23-07-2024,JPY,Primary Info 20,Secondary Info 20,495821.21,61394.84,434426.37,Pending,Check discrepancy
9740761,OF2134599377,Z5S3WCF4Q,2454931622,25-02-2025,GBP,Primary Info 21,Secondary Info 21,332015.12,368941.41,-36926.29,Pending,Pending investigation
2936050,WC0701029523,HSMD0HESI,1199738797,13-07-2024,CAD,Primary Info 22,Secondary Info 22,436576.64,171641.01,264935.63,Matched,Pending investigation
8337814,GG6059892403,K9345XGHD,2969519779,10-09-2024,GBP,Primary Info 23,Secondary Info 23,3424.98,359612.47,-356187.49,Pending,Pending investigation
2475134,OH2310664674,8313AHN3Z,2107365753,31-10-2024,CAD,Primary Info 24,Secondary Info 24,110258,396964.09,-286706.09,Pending,Pending investigation
1451216,ZM9698404142,OZ5LZP423,6734073321,02-01-2025,GBP,Primary Info 25,Secondary Info 25,317598.12,290922.38,26675.74,Pending,Pending investigation
2522420,LU8489340660,MFZWUJF5O,2269850848,25-05-2024,GBP,Primary Info 26,Secondary Info 26,342113.53,294929.71,47183.82,Unmatched,Needs review
2862141,GX9209004655,7E4BKNA9A,5156330826,14-04-2024,USD,Primary Info 27,Secondary Info 27,50808.7,379699.89,-328891.19,Partially Matched,Check discrepancy
1293229,KB9993117149,7RN2HVSMT,2331597872,03-01-2025,JPY,Primary Info 28,Secondary Info 28,17860.94,314174.49,-296313.55,Matched,Needs review
1513196,HX0004247218,E6CCGBRBA,2810518050,25-02-2025,GBP,Primary Info 29,Secondary Info 29,70412.15,158291.59,-87879.44,Pending,Pending investigation
2511080,KE0991970215,B7XGIOX2I,4131030809,18-12-2024,INR,Primary Info 30,Secondary Info 30,425383.22,423031.21,2352.01,Matched,Approved
2799376,VJ5385675511,B5XH6L1AE,7373573853,03-05-2024,USD,Primary Info 31,Secondary Info 31,382326.37,298377.25,83949.12,Unmatched,Approved
1608953,TP4258308955,VL9W34RDZ,1759723841,30-06-2024,GBP,Primary Info 32,Secondary Info 32,9653.6,226814.2,-217160.6,Matched,
4169242,TZ8186570670,GF2X47BTQ,1064404520,19-05-2024,JPY,Primary Info 33,Secondary Info 33,393142.32,440093.13,-46950.81,Unmatched,Approved
2306506,DS8332047368,UXXEQIX3N,2003296785,08-10-2024,GBP,Primary Info 34,Secondary Info 34,413222.45,384905.25,28317.2,Partially Matched,
2487910,EY0848837613,NP1NWBTL7,2717548476,10-01-2025,AUD,Primary Info 35,Secondary Info 35,106285.11,248333.24,-142048.13,Pending,Needs review
2446030,RR5007435491,536TTXN38,1888757758,31-07-2024,INR,Primary Info 36,Secondary Info 36,31803.81,336128.4,-304324.59,Matched,Check discrepancy
2443018,ZQ4313873321,5HYRUNU91,8700033742,12-07-2024,CAD,Primary Info 37,Secondary Info 37,498056.19,26746.25,471309.94,Partially Matched,Approved
2745627,UL7344768868,OJ9EYGIMY,2331597872,04-08-2024,EUR,Primary Info 38,Secondary Info 38,142752.97,40573.19,102179.78,Unmatched,Needs review
1059113,IS8217202668,96W92WJEZ,8974229065,12-02-2025,INR,Primary Info 39,Secondary Info 39,304885.43,306955.49,-2070.06,Pending,Needs review
1472671,QV3822770052,IKO2JHAV2,1359743023,11-08-2024,AUD,Primary Info 40,Secondary Info 40,186199.72,57422.47,128777.25,Partially Matched,Needs review
3399195,AZ5263531796,JWV38J6FD,1046931246,09-04-2024,AUD,Primary Info 41,Secondary Info 41,485440.18,50977.14,434463.04,Partially Matched,
3105242,GD2226990232,PIKTGT0OY,1528252183,30-08-2024,GBP,Primary Info 42,Secondary Info 42,332804.21,63279.07,269525.14,Pending,Needs review
7715239,PQ0371947064,78JFBKM24,5001812293,22-02-2025,AUD,Primary Info 43,Secondary Info 43,36108.04,216329.65,-180221.61,Unmatched,Approved
1149277,RJ3977140378,GLEJRHASO,1892650646,19-10-2024,CAD,Primary Info 44,Secondary Info 44,484239.25,341128.66,143110.59,Matched,Needs review
7368293,EN7382287284,5DDV9O7CY,2991702361,04-10-2024,USD,Primary Info 45,Secondary Info 45,456834.95,331026.63,125808.32,Partially Matched,Approved
1039777,ZW3588453984,B6PSG0M8S,2535552032,22-04-2024,GBP,Primary Info 46,Secondary Info 46,453778.39,290152.67,163625.72,Matched,
2179086,TJ0640929218,A58T3YPDZ,8367656236,25-02-2025,AUD,Primary Info 47,Secondary Info 47,143295.16,491291.39,-347996.23,Partially Matched,Approved
8203082,EW2722893291,3S802FRRJ,2483304490,16-09-2024,CAD,Primary Info 48,Secondary Info 48,276541.59,482933.52,-206391.93,Partially Matched,
2412927,BH4729901840,IDXGRSN0Y,2461778396,24-06-2024,CAD,Primary Info 49,Secondary Info 49,1953.77,474954.11,-473000.34,Unmatched,Needs review
3128246,BG6802618813,8RO0D4BEJ,3656480778,11-05-2024,JPY,Primary Info 50,Secondary Info 50,244594.4,289873.2,-45278.8,Pending,Pending investigation
2703340,PU2952040296,265WMNAJI,2153678285,06-02-2025,USD,Primary Info 51,Secondary Info 51,340381.35,431424.76,-91043.41,Pending,Approved
2278763,MI6347485075,VVR6UW2Q8,1337891902,28-06-2024,JPY,Primary Info 52,Secondary Info 52,330493.09,84138.92,246354.17,Matched,Needs review
5342768,NX2149334435,MVGN726Y2,3250084707,13-03-2025,CAD,Primary Info 53,Secondary Info 53,201417.77,407302.9,-205885.13,Unmatched,Approved
2574837,DQ9349545245,ET9L4HXLB,1379371950,13-06-2024,GBP,Primary Info 54,Secondary Info 54,7792.99,190147.79,-182354.8,Partially Matched,
2579674,UV4256672422,VZO12SUP0,2204714757,14-12-2024,AUD,Primary Info 55,Secondary Info 55,108893.6,18844.42,90049.18,Matched,Pending investigation
1136717,MI1875287195,Y1ZOTQA3H,3198590861,25-08-2024,AUD,Primary Info 56,Secondary Info 56,362625.66,29512.57,333113.09,Matched,
3016985,XZ3862103567,QSNHV8G72,2699538175,06-12-2024,CAD,Primary Info 57,Secondary Info 57,472379.48,4193.03,468186.45,Pending,Check discrepancy
1452831,BO0049302146,IY82XZT1X,1899653477,28-08-2024,USD,Primary Info 58,Secondary Info 58,20165.53,387741.16,-367575.63,Unmatched,Approved
2855841,SF6116940501,97C9S85MX,8802712924,31-10-2024,GBP,Primary Info 59,Secondary Info 59,36154.06,427318.15,-391164.09,Unmatched,Pending investigation
3201507,LH4047539805,I74AWJ484,2094943756,06-07-2024,GBP,Primary Info 60,Secondary Info 60,212137.14,199618.34,12518.8,Unmatched,Check discrepancy
1041470,NW2677888739,85KRSLV1Y,8491117475,12-01-2025,USD,Primary Info 61,Secondary Info 61,174333.31,441324.08,-266990.77,Matched,
9860425,SA1622462466,MRG8C7LCC,2254652879,24-07-2024,GBP,Primary Info 62,Secondary Info 62,198642.88,7722.63,190920.25,Pending,
3185570,QQ4886937514,Z5TESP55D,3198590861,12-04-2024,JPY,Primary Info 63,Secondary Info 63,211288.59,50943.05,160345.54,Pending,Approved
3313147,GC9354043793,QPUIKV1BY,2075353763,02-11-2024,AUD,Primary Info 64,Secondary Info 64,55562.89,99830.38,-44267.49,Pending,Pending investigation
3006301,RV8176515278,PAD9TICNG,4631079248,03-01-2025,GBP,Primary Info 65,Secondary Info 65,9505.04,298469.13,-288964.09,Partially Matched,Needs review
1164305,BC7805669613,EINFWDP3H,2155939799,08-05-2024,EUR,Primary Info 66,Secondary Info 66,271420.7,103511.67,167909.03,Matched,Approved
1325806,GJ1061101952,5NJUGQWTB,1139762581,20-01-2025,INR,Primary Info 67,Secondary Info 67,424281.37,484497.37,-60216,Unmatched,Needs review
2742747,MA7038045746,7LYKEO5SA,1797234510,03-05-2024,USD,Primary Info 68,Secondary Info 68,438085.46,391549.74,46535.72,Pending,Check discrepancy
3283007,NJ2058603606,E43T0M2VV,1650117563,03-07-2024,EUR,Primary Info 69,Secondary Info 69,183533.69,164203.28,19330.41,Pending,Pending investigation
3372202,ZF4760310480,66L5XUWS7,1883832179,25-08-2024,CAD,Primary Info 70,Secondary Info 70,248128.39,200270.97,47857.42,Matched,Check discrepancy
2311199,CL2698662614,9R2JGZBS3,9690668788,17-06-2024,JPY,Primary Info 71,Secondary Info 71,212171.56,249137.51,-36965.95,Pending,Check discrepancy
1678031,QZ4411300752,XME55GRM1,2113471872,04-07-2024,INR,Primary Info 72,Secondary Info 72,173587.48,462652.07,-289064.59,Partially Matched,Approved
1546776,QM5259940658,U1UZEE9EB,1238462135,23-03-2024,AUD,Primary Info 73,Secondary Info 73,245002.82,68535.37,176467.45,Partially Matched,Pending investigation
9828800,PA6118815931,SBTZMP8UW,1910070990,01-11-2024,GBP,Primary Info 74,Secondary Info 74,401515.65,465200.34,-63684.69,Unmatched,Pending investigation
1559752,PQ3488798641,Z65VJG36B,2689225674,01-09-2024,AUD,Primary Info 75,Secondary Info 75,44592.04,484404.56,-439812.52,Matched,Approved
2643413,GR4961741728,OA2UBMARC,2302801971,27-02-2025,AUD,Primary Info 76,Secondary Info 76,455852.91,80930.79,374922.12,Partially Matched,Check discrepancy
2628057,GG1011422054,0DQXO3IQU,1284017017,29-01-2025,GBP,Primary Info 77,Secondary Info 77,430224.99,458716.42,-28491.43,Matched,Needs review
2893023,TC2762393792,N2N5OL0UL,7152086635,29-07-2024,GBP,Primary Info 78,Secondary Info 78,257820.73,152070.96,105749.77,Partially Matched,
1921099,GQ0627712694,A3RGSXHKZ,6961408439,28-05-2024,EUR,Primary Info 79,Secondary Info 79,107599.72,26791.16,80808.56,Pending,
1964412,HF7115215014,JRQCBAJ0A,6734073321,18-06-2024,EUR,Primary Info 80,Secondary Info 80,50136.81,174079.59,-123942.78,Matched,Pending investigation
3185865,GW7989745145,4JKMBG2Q8,3720688100,11-01-2025,JPY,Primary Info 81,Secondary Info 81,255784.25,59495,196289.25,Matched,Pending investigation
1365990,EL4279100241,JKDXPQ2LD,2153678285,11-06-2024,CAD,Primary Info 82,Secondary Info 82,325713.9,222124.79,103589.11,Unmatched,Check discrepancy
1034849,RT8393603620,FHC1RV0CB,2699538175,19-10-2024,USD,Primary Info 83,Secondary Info 83,391296.78,28465.03,362831.75,Matched,Approved
1229347,HR3135694256,2JEMOCXTS,3015669932,02-09-2024,INR,Primary Info 84,Secondary Info 84,109970.45,302277.86,-192307.41,Unmatched,Needs review
1087146,RH8299924815,GIR0HEOL0,1835939264,06-01-2025,EUR,Primary Info 85,Secondary Info 85,178274.15,359732.32,-181458.17,Unmatched,Approved
1500095,IY3278684801,WP476Y8VE,3252212928,27-07-2024,GBP,Primary Info 86,Secondary Info 86,223646.18,35329.63,188316.55,Partially Matched,Needs review
1907093,VV6929280299,YYULEVQTG,1957754242,08-12-2024,EUR,Primary Info 87,Secondary Info 87,189309.83,2610.24,186699.59,Partially Matched,Needs review
1179076,JN9505110944,MUG439AAU,1264910803,06-01-2025,GBP,Primary Info 88,Secondary Info 88,34636.71,431303.85,-396667.14,Unmatched,Approved
2256709,GE7006613673,57BHRESYK,1467914637,11-06-2024,GBP,Primary Info 89,Secondary Info 89,249072.86,145682.23,103390.63,Unmatched,Pending investigation
1305855,EJ8005895407,DAYL077FC,9892828059,31-05-2024,EUR,Primary Info 90,Secondary Info 90,213557.82,95565.49,117992.33,Pending,Pending investigation
3203442,NL1674038086,OJAYXD4PY,5972188106,21-04-2024,USD,Primary Info 91,Secondary Info 91,485662.32,112562.46,373099.86,Pending,
1325694,MO2363571209,HK8N2EXXZ,2075113509,29-05-2024,AUD,Primary Info 92,Secondary Info 92,229861.16,407995.03,-178133.87,Pending,
1076363,ZM0754419968,NEI3Y6OJY,1624149998,21-05-2024,INR,Primary Info 93,Secondary Info 93,164265.84,303881.34,-139615.5,Pending,Approved
1550380,DL3230905727,J62AHJJ9K,3246691183,25-11-2024,INR,Primary Info 94,Secondary Info 94,10612.26,353572.07,-342959.81,Pending,
1861095,MJ9226258958,0GB2F7DXR,5345228691,01-03-2025,EUR,Primary Info 95,Secondary Info 95,490165.62,33514.9,456650.72,Unmatched,Needs review
2539949,LB7980432531,2R75TDUFQ,2113471872,12-03-2025,CAD,Primary Info 96,Secondary Info 96,110574.59,394676.23,-284101.64,Matched,Check discrepancy
2409489,DY9965117830,EBY78B06R,7376002848,18-01-2025,CAD,Primary Info 97,Secondary Info 97,87674.65,413540.08,-325865.43,Matched,Check discrepancy
1205971,EP1290091053,LL2466WNA,6961408439,13-05-2024,CAD,Primary Info 98,Secondary Info 98,9985.69,311815.48,-301829.79,Unmatched,Check discrepancy
2876500,IU1592476736,Q7F64W51V,2837449725,10-10-2024,AUD,Primary Info 99,Secondary Info 99,186519.98,295804.7,-109284.72,Pending,Needs review
5934032,CE6598382784,MI18WN5XQ,1913808596,05-05-2024,USD,Primary Info 100,Secondary Info 100,250234.44,33956.28,216278.16,Matched,Needs review
2948857,HM4888774182,HWFJMDPCT,1141072589,25-02-2025,USD,Primary Info 101,Secondary Info 101,102850.6,12591.41,90259.19,Partially Matched,Check discrepancy
1519821,VP0585286367,LLX00PTJV,3344659243,10-09-2024,INR,Primary Info 102,Secondary Info 102,419907.89,77478.14,342429.75,Matched,Check discrepancy
7643743,IO4150851836,SVPDSG9UR,1855499507,08-02-2025,INR,Primary Info 103,Secondary Info 103,407096.85,351396.69,55700.16,Unmatched,Pending investigation
1323788,QI0373525094,9XXA7XF6S,2348058767,19-08-2024,CAD,Primary Info 104,Secondary Info 104,108892.41,128350.89,-19458.48,Partially Matched,Needs review
2123457,EI8952460453,1CM37C8UN,1005735825,21-12-2024,INR,Primary Info 105,Secondary Info 105,444966.97,439271.18,5695.79,Partially Matched,Check discrepancy
1641546,SH2893404577,ROTNYMBMG,2104277633,09-11-2024,AUD,Primary Info 106,Secondary Info 106,366255.57,73918.63,292336.94,Partially Matched,Needs review
7418802,AW0004994131,BQSS5THOV,2344564355,07-07-2024,EUR,Primary Info 107,Secondary Info 107,34423.83,58659.53,-24235.7,Unmatched,Approved
1249215,QX8558402788,5FAJJQY9P,2711402778,03-09-2024,EUR,Primary Info 108,Secondary Info 108,169530.62,283109.28,-113578.66,Matched,Approved
6188982,WU6217457456,KWDMZP2AZ,3486241367,24-11-2024,GBP,Primary Info 109,Secondary Info 109,28314.26,247835.87,-219521.61,Matched,Approved
9510699,SN2518397075,B290UYPCA,1287178893,16-03-2025,USD,Primary Info 110,Secondary Info 110,37952.63,485865.59,-447912.96,Partially Matched,Approved
7810649,OG5515177819,HEUOUJLMZ,1594662075,14-10-2024,CAD,Primary Info 111,Secondary Info 111,117419.34,391168.6,-273749.26,Unmatched,Needs review
2855496,MN4692246359,0EKK7PD5A,1913808596,28-12-2024,USD,Primary Info 112,Secondary Info 112,271729.46,379626.83,-107897.37,Matched,Needs review
2049191,ZG8180050570,8OAHKWJTN,8892876709,18-05-2024,CAD,Primary Info 113,Secondary Info 113,332062.4,446447.89,-114385.49,Unmatched,Needs review
1008476,RQ9413551793,AVKKXCEAB,1394706532,24-10-2024,USD,Primary Info 114,Secondary Info 114,82354.49,335360.09,-253005.6,Partially Matched,Check discrepancy
7263829,ZR9158225614,VC4GO7J3R,1017585350,10-04-2024,AUD,Primary Info 115,Secondary Info 115,35709.73,394960.46,-359250.73,Partially Matched,Needs review
2852435,KN4401404207,9VWGLHMU3,2063085045,04-12-2024,USD,Primary Info 116,Secondary Info 116,87039.5,258366.09,-171326.59,Unmatched,Check discrepancy
2956658,AJ0437581410,PMIU9SIJO,2344564355,13-07-2024,CAD,Primary Info 117,Secondary Info 117,91074.75,48168.32,42906.43,Unmatched,
2802337,YW7097805417,IHMRCFEMF,1642949864,10-02-2025,EUR,Primary Info 118,Secondary Info 118,310521.65,272285.47,38236.18,Matched,Needs review
1154382,UD2986890956,G16AJ3SAW,5596192267,23-08-2024,EUR,Primary Info 119,Secondary Info 119,496412.19,442310.4,54101.79,Unmatched,Pending investigation
2546901,LQ5582296111,ZCX9YNQ5L,2798656854,19-07-2024,AUD,Primary Info 120,Secondary Info 120,13253.86,461682.14,-448428.28,Partially Matched,Pending investigation
1278257,VJ9691186808,4YNRPZDYX,2550567770,17-06-2024,INR,Primary Info 121,Secondary Info 121,490059.74,213686.68,276373.06,Partially Matched,Needs review
1517773,JQ9182869227,QEHEORK2D,2308704561,01-08-2024,JPY,Primary Info 122,Secondary Info 122,314767.46,495824.6,-181057.14,Pending,
1441253,MW8979772249,4YVKVS02G,1284017017,01-09-2024,JPY,Primary Info 123,Secondary Info 123,214766.71,452514.81,-237748.1,Unmatched,Needs review
2025173,JU4709034859,7AN0831QX,2073291190,16-04-2024,USD,Primary Info 124,Secondary Info 124,442519.11,255746.61,186772.5,Partially Matched,Approved
2862513,UA5988997726,KF62A6OFP,2756532581,23-07-2024,INR,Primary Info 125,Secondary Info 125,217905.79,429093.82,-211188.03,Matched,Check discrepancy
1193326,TT8311513382,NQ5RV74GR,9119927898,22-08-2024,AUD,Primary Info 126,Secondary Info 126,358284.64,173469.59,184815.05,Partially Matched,Needs review
2556940,NE9730944795,1A17JTQNP,9990091337,09-12-2024,INR,Primary Info 127,Secondary Info 127,53138.75,169917.45,-116778.7,Matched,Approved
1106612,UN5963364572,LDJW9MBTX,1302804055,26-08-2024,AUD,Primary Info 128,Secondary Info 128,99470.94,386706.51,-287235.57,Unmatched,Needs review
2214597,AY1936559943,S407E4AU2,3302551287,05-07-2024,CAD,Primary Info 129,Secondary Info 129,453934.17,23422.93,430511.24,Pending,Approved
2454589,ZI2783889977,9J44Q4BXV,1949096026,25-09-2024,INR,Primary Info 130,Secondary Info 130,98011.1,76636.26,21374.84,Partially Matched,Needs review
2257143,GR1112041917,GAF67GVAH,3111803035,23-03-2024,GBP,Primary Info 131,Secondary Info 131,415805.83,289949.21,125856.62,Partially Matched,Approved
1898476,RN9309245106,QSNRF3DLD,1235546990,09-10-2024,INR,Primary Info 132,Secondary Info 132,113065.17,113421.81,-356.64,Matched,Needs review
1446060,YT7326487397,PUP0T6RYT,8859958915,11-05-2024,CAD,Primary Info 133,Secondary Info 133,61867.24,329371.71,-267504.47,Unmatched,Check discrepancy
4590900,BD0496178311,D3RGGNO50,1337891902,24-11-2024,AUD,Primary Info 134,Secondary Info 134,136808.66,60016.32,76792.34,Pending,
2536108,PZ9105434438,HCCH0H1BN,1894617016,26-12-2024,INR,Primary Info 135,Secondary Info 135,239125.4,55880.31,183245.09,Partially Matched,Needs review
3105016,VG5312465842,U386DMGW1,8583464368,16-04-2024,INR,Primary Info 136,Secondary Info 136,147667.31,205017.05,-57349.74,Unmatched,
2737500,LK1904939373,025BBSELA,2472866613,28-05-2024,CAD,Primary Info 137,Secondary Info 137,385842.62,108792.53,277050.09,Pending,Check discrepancy
1446404,ME4126500238,0XBIG6894,1004114017,27-11-2024,AUD,Primary Info 138,Secondary Info 138,133761.29,486296.64,-352535.35,Partially Matched,Needs review
2467026,UQ4572881056,36XXFAPOO,3069011739,05-03-2025,USD,Primary Info 139,Secondary Info 139,119675.43,58143.9,61531.53,Pending,Pending investigation
2710967,CI3616400813,4BJIEYT52,3436386028,09-10-2024,GBP,Primary Info 140,Secondary Info 140,246022.3,471580.67,-225558.37,Pending,Check discrepancy
1205522,BR6096681894,639778FPE,2040006980,07-03-2025,AUD,Primary Info 141,Secondary Info 141,269632.11,95653.83,173978.28,Matched,Approved
5290853,QG6189216957,WOQMUMJSS,3369351563,04-12-2024,AUD,Primary Info 142,Secondary Info 142,285754.53,375688.04,-89933.51,Matched,Check discrepancy
2587834,SP5409638977,BNMGVTFHJ,3198590861,13-12-2024,USD,Primary Info 143,Secondary Info 143,184957.09,171482.35,13474.74,Partially Matched,Needs review
1029546,ED2339730384,UI6K1LHI7,1915879192,05-04-2024,CAD,Primary Info 144,Secondary Info 144,174198.23,307123,-132924.77,Matched,Approved
9131736,JF7442862111,LTUDECD68,1519619190,19-05-2024,JPY,Primary Info 145,Secondary Info 145,169532.04,279732.49,-110200.45,Matched,
1237347,VE1647545225,WKC53AVV7,9746956888,04-10-2024,AUD,Primary Info 146,Secondary Info 146,140041.14,6140.36,133900.78,Partially Matched,
1690520,JT4856309261,IFLJ6TL4Q,2504231324,22-12-2024,GBP,Primary Info 147,Secondary Info 147,394530.02,116597.19,277932.83,Matched,Check discrepancy
1970910,MN8263171481,I69NGLP6A,1676170124,21-03-2025,AUD,Primary Info 148,Secondary Info 148,208335.76,490399.43,-282063.67,Pending,Pending investigation
3312259,PO7227413803,K31E83IOH,1036935371,21-03-2025,USD,Primary Info 149,Secondary Info 149,148027.15,11444.87,136582.28,Partially Matched,Pending investigation
2657888,TJ8784343567,MCEOJ5LSE,1482409869,03-11-2024,INR,Primary Info 150,Secondary Info 150,31316.46,68360.4,-37043.94,Matched,Needs review
1924714,KC3724809358,DH1B9Z29T,6016842131,07-09-2024,USD,Primary Info 151,Secondary Info 151,235185.17,481381.36,-246196.19,Unmatched,Check discrepancy
9159015,UP3473281824,FUP3MEG3S,1899653477,04-08-2024,JPY,Primary Info 152,Secondary Info 152,437206.49,110258.58,326947.91,Unmatched,Approved
1674691,OX3546142563,XMMPU7OR1,9572344827,01-01-2025,USD,Primary Info 153,Secondary Info 153,287637.11,206438.14,81198.97,Matched,Approved
8877542,EH5761965059,BBNYMN0UL,2473905621,21-03-2025,INR,Primary Info 154,Secondary Info 154,90341.79,180635.88,-90294.09,Unmatched,
1567448,TY7429372126,8PSZE9K6O,1523234130,17-11-2024,EUR,Primary Info 155,Secondary Info 155,143678.75,114197.45,29481.3,Unmatched,Check discrepancy
2079968,FI8980289404,I8DY2AFH4,1371069528,21-05-2024,EUR,Primary Info 156,Secondary Info 156,425892.47,202072.56,223819.91,Matched,Pending investigation
2911007,ZL0734279880,NC0VN7ZPZ,6593969277,25-08-2024,INR,Primary Info 157,Secondary Info 157,442816.36,344501.3,98315.06,Matched,Pending investigation
2186943,PN8180651369,ZATFXBRQ8,3117084562,10-02-2025,GBP,Primary Info 158,Secondary Info 158,457606.83,284909.36,172697.47,Partially Matched,Pending investigation
7682343,RA5910410154,9CJNACDLH,1624149998,20-04-2024,AUD,Primary Info 159,Secondary Info 159,172487.91,201712.59,-29224.68,Unmatched,Approved
2358078,HX5322443157,MGJ5GOG09,2589325912,07-10-2024,CAD,Primary Info 160,Secondary Info 160,237143.26,116500.12,120643.14,Unmatched,Needs review
2635711,TN1002387057,8OIEZFJV8,2340449726,11-03-2025,INR,Primary Info 161,Secondary Info 161,45668.43,284079.32,-238410.89,Matched,
1029300,JZ7597778637,GSN5HMW6A,2367936451,06-11-2024,USD,Primary Info 162,Secondary Info 162,387425.54,144731.13,242694.41,Unmatched,Check discrepancy
1657521,MP3965228804,HSFUH3Y9F,2457940785,24-11-2024,AUD,Primary Info 163,Secondary Info 163,227774.56,271046.01,-43271.45,Pending,
1242408,EI0278296744,YUPWZE89M,2756532581,09-04-2024,EUR,Primary Info 164,Secondary Info 164,488546.59,299626.1,188920.49,Partially Matched,Check discrepancy
6567548,DY3635239279,8G1YQISEX,6716917993,21-04-2024,USD,Primary Info 165,Secondary Info 165,30952.81,11227.34,19725.47,Matched,Pending investigation
1644044,EL9068616711,0OB2ZZTY3,8440597895,18-06-2024,INR,Primary Info 166,Secondary Info 166,380528.45,365269.24,15259.21,Matched,Check discrepancy
1550979,JN4724292719,TKXBBV9K0,2591288063,18-11-2024,INR,Primary Info 167,Secondary Info 167,80521.79,294340.2,-213818.41,Partially Matched,Check discrepancy
1601001,WD1134886098,Q4T3NOT6R,1141908214,04-02-2025,USD,Primary Info 168,Secondary Info 168,89222.57,320099.95,-230877.38,Unmatched,Needs review
1124791,GH9380471935,17P0Z8JJB,3279480707,04-11-2024,CAD,Primary Info 169,Secondary Info 169,465490.17,43035.47,422454.7,Unmatched,Pending investigation
1020030,OQ0547721353,T0MPOV2L5,1642949864,20-10-2024,GBP,Primary Info 170,Secondary Info 170,30354.72,389871.49,-359516.77,Partially Matched,Approved
3751218,SF1760442300,UV3QJEICN,1506845033,10-02-2025,JPY,Primary Info 171,Secondary Info 171,483846.79,131061.58,352785.21,Partially Matched,Pending investigation
1713684,SZ0891742277,BS0CP3XSF,1664783070,10-12-2024,USD,Primary Info 172,Secondary Info 172,226941.99,70067.1,156874.89,Matched,Needs review
6458266,HH0518415033,335IHQKVL,9066682780,22-02-2025,GBP,Primary Info 173,Secondary Info 173,160260.52,41571.57,118688.95,Pending,Check discrepancy
