Account Number,As of Date,Currency,Primary Account Info,Secondary Account Info,GL Balance,IHub Balance,Balance Difference,Match Status,Comments
1603789955,2024-10-25,CAD,Primary Info 47,Secondary Info 47,224799.12,185225.48,39573.64,Pending,Needs review
2018500590,2025-02-23,EUR,Primary Info 48,Secondary Info 48,204371.49,177864.53,26506.96,Pending,
2302925438,2025-03-16,CAD,Primary Info 49,Secondary Info 49,194488.17,310434.46,-115946.29,Partially Matched,
2570099176,2024-05-05,EUR,Primary Info 50,Secondary Info 50,214664.94,425669.76,-211004.82,Unmatched,Needs review
1163760229,2024-04-27,USD,Primary Info 51,Secondary Info 51,416645.59,424829.4,-8183.81,Pending,Needs review
1369487917,2024-07-23,CAD,Primary Info 52,Secondary Info 52,291149.8,109407.07,181742.73,Matched,Needs review
2613048300,2024-10-24,AUD,Primary Info 53,Secondary Info 53,232865.42,189471.16,43394.26,Partially Matched,Check discrepancy
3150900688,2024-12-03,CAD,Primary Info 54,Secondary Info 54,394957.65,131962.52,262995.13,Unmatched,Approved
1943188374,2024-11-05,CAD,Primary Info 55,Secondary Info 55,307099.62,212885.97,94213.65,Partially Matched,Needs review
1473022104,2024-04-27,EUR,Primary Info 56,Secondary Info 56,212932.46,156183.93,56748.53,Partially Matched,Pending investigation
2844749520,2024-05-30,GBP,Primary Info 57,Secondary Info 57,323532.71,411118.58,-87585.87,Unmatched,Approved
1551967534,2024-06-04,INR,Primary Info 58,Secondary Info 58,212991.57,396967.88,-183976.31,Matched,Approved
3128280409,2024-12-11,JPY,Primary Info 59,Secondary Info 59,404359.45,145840.66,258518.79,Partially Matched,Pending investigation
3120397183,2024-07-20,AUD,Primary Info 60,Secondary Info 60,99554.92,2154.45,97400.47,Partially Matched,Pending investigation
3081808481,2024-07-13,GBP,Primary Info 61,Secondary Info 61,291834.66,91020.45,200814.21,Matched,
3101970817,2024-08-03,CAD,Primary Info 62,Secondary Info 62,315503.55,152085.85,163417.7,Unmatched,Approved
1871097092,2024-05-01,USD,Primary Info 63,Secondary Info 63,389404.22,181816.98,207587.24,Pending,Needs review
1023317897,2024-04-05,INR,Primary Info 64,Secondary Info 64,349968.7,147395.57,202573.13,Matched,Approved
2161825302,2024-05-27,AUD,Primary Info 65,Secondary Info 65,224425.32,55335.33,169089.99,Unmatched,
2094008162,2025-02-24,JPY,Primary Info 66,Secondary Info 66,349947.97,469976.18,-120028.21,Pending,Approved
1161559551,2025-01-15,GBP,Primary Info 67,Secondary Info 67,326024.38,235983.12,90041.26,Matched,Pending investigation
2423186408,2024-04-23,AUD,Primary Info 68,Secondary Info 68,350297.47,337578.19,12719.28,Unmatched,Pending investigation
5933675212,2024-09-28,GBP,Primary Info 69,Secondary Info 69,445353.5,427090.51,18262.99,Unmatched,Needs review
7691204113,2024-10-04,EUR,Primary Info 70,Secondary Info 70,120475.21,90419.03,30056.18,Unmatched,Pending investigation
1192776271,2024-08-03,EUR,Primary Info 71,Secondary Info 71,429085.92,347352.87,81733.05,Pending,Check discrepancy
3109621270,2024-10-31,JPY,Primary Info 72,Secondary Info 72,303102.35,467057.51,-163955.16,Matched,Needs review
9986895558,2025-03-19,GBP,Primary Info 73,Secondary Info 73,459642.31,330717.81,128924.5,Unmatched,Check discrepancy
8699553568,2024-08-29,AUD,Primary Info 74,Secondary Info 74,262065.27,232317.39,29747.88,Unmatched,Check discrepancy
2778760234,2024-09-02,CAD,Primary Info 75,Secondary Info 75,270365.06,377532.59,-107167.53,Pending,Approved
1853477009,2024-04-27,INR,Primary Info 76,Secondary Info 76,4509.07,332852.01,-328342.94,Pending,Needs review
3952286868,2024-09-27,CAD,Primary Info 77,Secondary Info 77,171381.7,438287.57,-266905.87,Partially Matched,Check discrepancy
2356429604,2025-02-27,AUD,Primary Info 78,Secondary Info 78,37693.4,219783.56,-182090.16,Partially Matched,Needs review
3767112013,2024-12-19,GBP,Primary Info 79,Secondary Info 79,162247.39,63347.32,98900.07,Partially Matched,Check discrepancy
1657547387,2024-05-16,JPY,Primary Info 80,Secondary Info 80,472309.14,188127.37,284181.77,Unmatched,Check discrepancy
1701144755,2024-10-05,USD,Primary Info 81,Secondary Info 81,38533.72,404542.34,-366008.62,Partially Matched,Approved
9507639992,2025-01-21,USD,Primary Info 82,Secondary Info 82,70350.47,95941.5,-25591.03,Pending,Approved
1721464368,2024-05-11,USD,Primary Info 83,Secondary Info 83,412138.07,117802.22,294335.85,Pending,Check discrepancy
1190310658,2024-10-22,AUD,Primary Info 84,Secondary Info 84,447652.18,282784.56,164867.62,Matched,Needs review
2075250118,2024-04-30,GBP,Primary Info 85,Secondary Info 85,52663.7,411630.93,-358967.23,Matched,Check discrepancy
2852347455,2025-01-28,JPY,Primary Info 86,Secondary Info 86,183886.81,99646.67,84240.14,Matched,
2604606404,2024-05-21,AUD,Primary Info 87,Secondary Info 87,86538.72,317438.1,-230899.38,Partially Matched,Needs review
1111659110,2024-06-24,JPY,Primary Info 88,Secondary Info 88,29263.05,244582.44,-215319.39,Unmatched,
3293376965,2025-03-16,USD,Primary Info 89,Secondary Info 89,14682.79,286841.45,-272158.66,Pending,Check discrepancy
1488743554,2024-04-03,AUD,Primary Info 90,Secondary Info 90,170019.69,369947.15,-199927.46,Partially Matched,Check discrepancy
7591875123,2024-05-22,INR,Primary Info 91,Secondary Info 91,90031.13,340985.27,-250954.14,Unmatched,Check discrepancy
1244404763,2024-06-17,INR,Primary Info 92,Secondary Info 92,327840.44,55434.43,272406.01,Partially Matched,Needs review
2307543759,2024-07-12,GBP,Primary Info 93,Secondary Info 93,440078.45,159273.85,280804.6,Partially Matched,Approved
2683528319,2024-07-22,INR,Primary Info 94,Secondary Info 94,408142.55,305235.93,102906.62,Pending,Approved
1411539389,2024-09-19,USD,Primary Info 95,Secondary Info 95,217984.17,316329.2,-98345.03,Partially Matched,Pending investigation
1507433629,2025-03-07,INR,Primary Info 96,Secondary Info 96,481673.68,19440.01,462233.67,Partially Matched,Pending investigation
5931750683,2024-08-05,GBP,Primary Info 97,Secondary Info 97,342460.9,499498.5,-157037.6,Matched,Needs review
7164921649,2024-05-07,CAD,Primary Info 98,Secondary Info 98,419250.64,277138.48,142112.16,Pending,Check discrepancy
1619776164,2025-01-23,GBP,Primary Info 99,Secondary Info 99,418065.8,323711.93,94353.87,Partially Matched,Pending investigation
3162517835,2024-12-05,USD,Primary Info 100,Secondary Info 100,80353.71,87161.4,-6807.69,Matched,
2971560406,2024-05-08,AUD,Primary Info 101,Secondary Info 101,95987.72,147829.96,-51842.24,Pending,Check discrepancy
2599454850,2024-06-10,AUD,Primary Info 102,Secondary Info 102,16350.46,12151.33,4199.13,Pending,Needs review
1517495051,2025-02-27,INR,Primary Info 103,Secondary Info 103,10874.34,69943.82,-59069.48,Matched,Pending investigation
8284909121,2025-01-04,EUR,Primary Info 104,Secondary Info 104,309052.46,397383.37,-88330.91,Pending,Needs review
6621960401,2024-06-30,AUD,Primary Info 105,Secondary Info 105,468691.71,336985.52,131706.19,Partially Matched,
3270777739,2024-06-09,INR,Primary Info 106,Secondary Info 106,56091.06,378426.32,-322335.26,Matched,Pending investigation
1644045976,2024-10-26,JPY,Primary Info 107,Secondary Info 107,354440.54,66034.42,288406.12,Pending,
1813005003,2024-05-14,AUD,Primary Info 108,Secondary Info 108,376691.62,190525.58,186166.04,Pending,Needs review
4805172987,2024-06-21,CAD,Primary Info 109,Secondary Info 109,316457.64,461028.2,-144570.56,Pending,Pending investigation
2916673144,2024-12-08,AUD,Primary Info 110,Secondary Info 110,433495.69,374823.01,58672.68,Matched,Check discrepancy
3280859225,2024-07-23,EUR,Primary Info 111,Secondary Info 111,137026.96,441237.29,-304210.33,Partially Matched,Pending investigation
7794979218,2024-05-06,USD,Primary Info 112,Secondary Info 112,84630.56,252045.77,-167415.21,Partially Matched,Check discrepancy
9064646601,2024-06-23,AUD,Primary Info 113,Secondary Info 113,120513.61,325014.73,-204501.12,Matched,
4991568578,2024-04-09,CAD,Primary Info 114,Secondary Info 114,405409.56,192533.37,212876.19,Matched,
3333591209,2024-09-22,AUD,Primary Info 115,Secondary Info 115,322254.39,106905.28,215349.11,Partially Matched,Pending investigation
1117713947,2025-01-31,EUR,Primary Info 116,Secondary Info 116,102510.36,289936,-187425.64,Matched,Needs review
1370191317,2025-03-12,GBP,Primary Info 117,Secondary Info 117,97484.59,219768.89,-122284.3,Unmatched,
1996683060,2024-05-24,INR,Primary Info 118,Secondary Info 118,29353.96,418310.28,-388956.32,Unmatched,Pending investigation
9160628246,2024-05-28,EUR,Primary Info 119,Secondary Info 119,378662.6,5516.86,373145.74,Matched,
2149098437,2025-02-03,USD,Primary Info 120,Secondary Info 120,448769.77,481878.93,-33109.16,Pending,Pending investigation
3417511367,2024-05-04,GBP,Primary Info 121,Secondary Info 121,138392.68,78425.15,59967.53,Partially Matched,Approved
4705891671,2024-09-29,INR,Primary Info 122,Secondary Info 122,437900.89,157687.14,280213.75,Pending,Check discrepancy
2393975397,2024-10-20,GBP,Primary Info 123,Secondary Info 123,39468.95,166591.91,-127122.96,Unmatched,Approved
1926582040,2024-12-27,JPY,Primary Info 124,Secondary Info 124,303591.21,115122.59,188468.62,Unmatched,Approved
6258793153,2024-12-31,GBP,Primary Info 125,Secondary Info 125,111043.87,405076.03,-294032.16,Matched,Approved
1337070486,2024-11-09,GBP,Primary Info 126,Secondary Info 126,6923.68,414908.46,-407984.78,Unmatched,Pending investigation
2996100650,2024-12-09,JPY,Primary Info 127,Secondary Info 127,108823.79,337628.61,-228804.82,Matched,Approved
5131526592,2024-06-10,EUR,Primary Info 128,Secondary Info 128,214499.16,426730.91,-212231.75,Pending,
2184453654,2025-03-01,USD,Primary Info 129,Secondary Info 129,165586.61,36791.42,128795.19,Unmatched,Pending investigation
1569032035,2024-06-18,GBP,Primary Info 130,Secondary Info 130,46395,447671.13,-401276.13,Matched,Needs review
5698246484,2024-09-30,USD,Primary Info 131,Secondary Info 131,266099.29,225142.27,40957.02,Partially Matched,Pending investigation
1068793764,2024-10-04,JPY,Primary Info 132,Secondary Info 132,69168.44,332660.46,-263492.02,Partially Matched,
1855908963,2024-08-20,USD,Primary Info 133,Secondary Info 133,346039.2,316869.7,29169.5,Matched,Pending investigation
2414432892,2024-08-22,CAD,Primary Info 134,Secondary Info 134,473937.57,33280.22,440657.35,Partially Matched,
3244347576,2024-11-15,JPY,Primary Info 135,Secondary Info 135,368422.49,345660.22,22762.27,Partially Matched,Needs review
3005308621,2024-05-18,USD,Primary Info 136,Secondary Info 136,377997.68,170654.1,207343.58,Pending,Pending investigation
1766529737,2024-08-01,CAD,Primary Info 137,Secondary Info 137,40384.02,422347.89,-381963.87,Unmatched,Pending investigation
2095131858,2024-12-06,CAD,Primary Info 138,Secondary Info 138,349479.58,66673.38,282806.2,Partially Matched,
6560573871,2024-12-21,INR,Primary Info 139,Secondary Info 139,412625.24,47752.71,364872.53,Pending,Check discrepancy
3299783135,2024-10-15,AUD,Primary Info 140,Secondary Info 140,62192.33,243891.33,-181699,Pending,Check discrepancy
2561756459,2024-04-01,GBP,Primary Info 141,Secondary Info 141,173101.65,358916.12,-185814.47,Pending,Check discrepancy
6734779102,2024-08-04,CAD,Primary Info 142,Secondary Info 142,174849.45,469137.78,-294288.33,Matched,Approved
3313734895,2025-02-18,JPY,Primary Info 143,Secondary Info 143,370067.8,430311.7,-60243.9,Unmatched,Needs review
1487312033,2025-03-08,INR,Primary Info 144,Secondary Info 144,413454.79,38517.99,374936.8,Matched,Check discrepancy
1941758509,2024-10-21,CAD,Primary Info 145,Secondary Info 145,291882.16,276622.53,15259.63,Pending,
8030050239,2024-08-22,INR,Primary Info 146,Secondary Info 146,44957.57,394720.29,-349762.72,Unmatched,Pending investigation
3345687981,2024-07-20,EUR,Primary Info 147,Secondary Info 147,161797.27,381298.36,-219501.09,Partially Matched,Approved
1631965126,2024-04-15,CAD,Primary Info 148,Secondary Info 148,69382.3,227607.29,-158224.99,Matched,Needs review
1637017863,2024-04-24,AUD,Primary Info 149,Secondary Info 149,186529.23,316008.07,-129478.84,Partially Matched,Approved
2717867279,2024-09-30,GBP,Primary Info 150,Secondary Info 150,495731.04,248533.42,247197.62,Unmatched,Check discrepancy
4077743047,2024-04-29,INR,Primary Info 151,Secondary Info 151,87807.22,69343.05,18464.17,Unmatched,Pending investigation
1064153144,2025-01-31,INR,Primary Info 152,Secondary Info 152,28805.75,145525.93,-116720.18,Partially Matched,
9572925067,2025-02-06,AUD,Primary Info 153,Secondary Info 153,298680.94,269649.71,29031.23,Pending,Needs review
1690334860,2024-12-04,EUR,Primary Info 154,Secondary Info 154,233600.19,89330.43,144269.76,Partially Matched,Check discrepancy
7688815356,2025-03-12,GBP,Primary Info 155,Secondary Info 155,345752.63,132390.67,213361.96,Unmatched,Approved
8807779000,2024-06-20,INR,Primary Info 156,Secondary Info 156,255428.32,28935.8,226492.52,Unmatched,Check discrepancy
2257494988,2024-07-21,EUR,Primary Info 157,Secondary Info 157,274895.01,445056.18,-170161.17,Matched,Approved
7975755702,2024-07-27,AUD,Primary Info 158,Secondary Info 158,160907.95,351113.16,-190205.21,Unmatched,Pending investigation
5891468289,2024-11-03,EUR,Primary Info 159,Secondary Info 159,224151.89,177465.41,46686.48,Matched,Approved
1272961605,2025-03-03,JPY,Primary Info 160,Secondary Info 160,442518.87,95784.53,346734.34,Matched,
6366018461,2024-10-10,GBP,Primary Info 161,Secondary Info 161,490615.3,104490.02,386125.28,Unmatched,Approved
9214346800,2024-07-22,CAD,Primary Info 162,Secondary Info 162,319635.55,26761.84,292873.71,Partially Matched,Pending investigation
6971198820,2024-04-30,INR,Primary Info 163,Secondary Info 163,34261.3,113429.12,-79167.82,Unmatched,Needs review
2664602532,2024-03-24,CAD,Primary Info 164,Secondary Info 164,83023.14,335551.76,-252528.62,Unmatched,Needs review
2907043064,2025-01-28,INR,Primary Info 165,Secondary Info 165,497144.49,128191.05,368953.44,Matched,
3334110971,2024-12-11,GBP,Primary Info 166,Secondary Info 166,479000.46,339094.45,139906.01,Partially Matched,Pending investigation
2181841015,2025-01-26,EUR,Primary Info 167,Secondary Info 167,391855.86,194290.46,197565.4,Pending,Check discrepancy
1126137175,2024-10-19,INR,Primary Info 168,Secondary Info 168,80154.66,402163.2,-322008.54,Pending,Approved
2565647763,2024-06-21,USD,Primary Info 169,Secondary Info 169,345802.78,371533.9,-25731.12,Matched,Pending investigation
2585835502,2024-06-05,EUR,Primary Info 170,Secondary Info 170,362279.78,129894.6,232385.18,Partially Matched,
2130488188,2024-04-04,EUR,Primary Info 171,Secondary Info 171,249620.84,252004.14,-2383.3,Pending,Approved
2051640197,2024-11-12,INR,Primary Info 172,Secondary Info 172,281385.82,416905.73,-135519.91,Partially Matched,Needs review
2280647758,2024-04-30,INR,Primary Info 173,Secondary Info 173,40880.57,194637.17,-153756.6,Pending,Needs review
3092493483,2024-08-03,CAD,Primary Info 174,Secondary Info 174,45010.85,175875.76,-130864.91,Pending,Pending investigation
2118901269,2024-10-23,CAD,Primary Info 175,Secondary Info 175,370329.01,302572.69,67756.32,Partially Matched,Pending investigation
1835417221,2024-04-20,USD,Primary Info 176,Secondary Info 176,469609.5,299810.39,169799.11,Unmatched,
2941987726,2024-06-09,EUR,Primary Info 177,Secondary Info 177,108427.87,129527.85,-21099.98,Pending,Needs review
3071512312,2024-04-13,JPY,Primary Info 178,Secondary Info 178,480558.99,477457.65,3101.34,Pending,Check discrepancy
8385043655,2024-07-26,EUR,Primary Info 179,Secondary Info 179,312563.8,156070.26,156493.54,Matched,Approved
6985233057,2024-04-06,GBP,Primary Info 180,Secondary Info 180,473413.81,29750.73,443663.08,Unmatched,Needs review
1383988714,2024-10-21,EUR,Primary Info 181,Secondary Info 181,450378.92,480077,-29698.08,Matched,Pending investigation
1401022015,2025-03-18,JPY,Primary Info 182,Secondary Info 182,99482.04,117780.79,-18298.75,Matched,Pending investigation
4581247448,2025-03-01,INR,Primary Info 183,Secondary Info 183,321160.1,467117.12,-145957.02,Pending,Needs review
2777263738,2024-04-25,JPY,Primary Info 184,Secondary Info 184,477744.37,228078.2,249666.17,Matched,Needs review
2793734374,2024-07-30,GBP,Primary Info 185,Secondary Info 185,166148.43,333594.16,-167445.73,Partially Matched,
9043822530,2024-11-14,AUD,Primary Info 186,Secondary Info 186,303751.66,170711.38,133040.28,Unmatched,Pending investigation
2009287511,2024-07-10,INR,Primary Info 187,Secondary Info 187,183461.51,141912.34,41549.17,Partially Matched,Check discrepancy
3000139760,2025-03-19,CAD,Primary Info 188,Secondary Info 188,32390.45,183736.18,-151345.73,Matched,Approved
2261899784,2024-12-25,INR,Primary Info 189,Secondary Info 189,119718.91,422678.79,-302959.88,Partially Matched,Pending investigation
2018762313,2024-06-01,EUR,Primary Info 190,Secondary Info 190,483511.97,112817.96,370694.01,Pending,Pending investigation
2052241370,2024-11-28,EUR,Primary Info 191,Secondary Info 191,478718.99,428319.51,50399.48,Partially Matched,Approved
1446114213,2025-02-15,EUR,Primary Info 192,Secondary Info 192,272236.33,352319.94,-80083.61,Unmatched,Check discrepancy
2606366852,2024-07-29,INR,Primary Info 193,Secondary Info 193,282939.54,443680.11,-160740.57,Partially Matched,Check discrepancy
1317685127,2024-12-09,CAD,Primary Info 194,Secondary Info 194,47648.43,117187.24,-69538.81,Pending,
2503772717,2025-01-24,JPY,Primary Info 195,Secondary Info 195,412426.48,470592.51,-58166.03,Partially Matched,Check discrepancy
1680242186,2025-03-04,CAD,Primary Info 196,Secondary Info 196,434277.87,287580.31,146697.56,Partially Matched,Needs review
1867072806,2024-06-14,AUD,Primary Info 197,Secondary Info 197,308216.48,431817.91,-123601.43,Unmatched,Pending investigation
1074891884,2025-01-05,EUR,Primary Info 198,Secondary Info 198,166522.35,296114.29,-129591.94,Partially Matched,Check discrepancy
9508114621,2024-09-10,GBP,Primary Info 199,Secondary Info 199,23529.72,114865,-91335.28,Partially Matched,Check discrepancy
1222889072,2024-08-22,AUD,Primary Info 200,Secondary Info 200,368696.48,241279.97,127416.51,Pending,
2753210287,2024-12-06,JPY,Primary Info 201,Secondary Info 201,115783.15,219815.13,-104031.98,Partially Matched,Approved
2421288761,2024-08-10,JPY,Primary Info 202,Secondary Info 202,416280.51,228920.02,187360.49,Partially Matched,Pending investigation
1225522686,2024-07-27,EUR,Primary Info 203,Secondary Info 203,297324.29,195808.59,101515.7,Matched,
1009607628,2024-10-16,EUR,Primary Info 204,Secondary Info 204,183663.81,314419.5,-130755.69,Partially Matched,Check discrepancy
2143357984,2024-12-20,AUD,Primary Info 205,Secondary Info 205,346051.76,305226.01,40825.75,Unmatched,Pending investigation
2262889115,2024-10-03,EUR,Primary Info 206,Secondary Info 206,108221.36,42279.62,65941.74,Partially Matched,Approved
1025607793,2024-04-27,INR,Primary Info 207,Secondary Info 207,191793.67,135620.6,56173.07,Partially Matched,Check discrepancy
2498321825,2024-09-06,EUR,Primary Info 208,Secondary Info 208,29823.13,101544.55,-71721.42,Partially Matched,Check discrepancy
5883309947,2024-09-10,INR,Primary Info 209,Secondary Info 209,403766.74,23156.34,380610.4,Matched,Check discrepancy
6660443934,2024-10-15,EUR,Primary Info 210,Secondary Info 210,158494.74,191659.71,-33164.97,Unmatched,Check discrepancy
3282673080,2024-12-21,JPY,Primary Info 211,Secondary Info 211,167164.95,4377.2,162787.75,Partially Matched,Needs review
2576644506,2024-10-14,CAD,Primary Info 212,Secondary Info 212,471943.99,133997.26,337946.73,Pending,Check discrepancy
1493794575,2024-03-26,CAD,Primary Info 213,Secondary Info 213,259191.96,231605.32,27586.64,Unmatched,Pending investigation
2269297863,2024-07-24,GBP,Primary Info 214,Secondary Info 214,212935.59,425789.46,-212853.87,Partially Matched,
2979537465,2025-02-02,USD,Primary Info 215,Secondary Info 215,191157.49,336064.62,-144907.13,Matched,Approved
3101968395,2024-09-23,INR,Primary Info 216,Secondary Info 216,230173.5,36611.44,193562.06,Partially Matched,Pending investigation
1135050732,2025-03-15,JPY,Primary Info 217,Secondary Info 217,365234.06,14237.34,350996.72,Partially Matched,Needs review
2457792262,2025-01-17,INR,Primary Info 218,Secondary Info 218,397222.26,193146.77,204075.49,Partially Matched,Check discrepancy
1924285145,2024-06-08,USD,Primary Info 219,Secondary Info 219,387131.78,331395.87,55735.91,Unmatched,Approved
2159526454,2024-04-03,GBP,Primary Info 220,Secondary Info 220,475166.57,435435.07,39731.5,Matched,
2261230040,2024-06-12,CAD,Primary Info 221,Secondary Info 221,259805.53,84246.27,175559.26,Matched,Pending investigation
4791577188,2024-10-22,AUD,Primary Info 222,Secondary Info 222,82320.16,161591.35,-79271.19,Partially Matched,Pending investigation
2473779322,2024-07-27,USD,Primary Info 223,Secondary Info 223,480620.08,227687.71,252932.37,Partially Matched,Check discrepancy
2387183429,2024-09-24,EUR,Primary Info 224,Secondary Info 224,377103.15,204679.57,172423.58,Pending,Approved
3330708022,2024-09-09,CAD,Primary Info 225,Secondary Info 225,133284.08,486421.07,-353136.99,Pending,Approved
2356790769,2025-01-10,CAD,Primary Info 226,Secondary Info 226,499650.25,104857.02,394793.23,Unmatched,Needs review
3468121611,2024-10-03,USD,Primary Info 227,Secondary Info 227,303506.32,230443.83,73062.49,Partially Matched,Check discrepancy
3247564490,2024-10-03,INR,Primary Info 228,Secondary Info 228,192249.52,13347.94,178901.58,Partially Matched,Needs review
2056632183,2024-08-08,USD,Primary Info 229,Secondary Info 229,306769.92,35510.19,271259.73,Partially Matched,Needs review
3957001290,2024-05-25,AUD,Primary Info 230,Secondary Info 230,55538.63,419448.98,-363910.35,Matched,Pending investigation
2296103454,2024-05-23,JPY,Primary Info 231,Secondary Info 231,149053.45,414661.24,-265607.79,Unmatched,Approved
7633481301,2024-05-10,JPY,Primary Info 232,Secondary Info 232,355643.08,168151.71,187491.37,Pending,Check discrepancy
4499314134,2024-07-08,INR,Primary Info 233,Secondary Info 233,341485.97,415590.53,-74104.56,Pending,Check discrepancy
2196935335,2024-11-14,AUD,Primary Info 234,Secondary Info 234,125851.55,61768.01,64083.54,Unmatched,Pending investigation
1814663093,2024-04-18,INR,Primary Info 235,Secondary Info 235,377758.68,400936.27,-23177.59,Pending,Approved
